,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Gross Profit,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash Per Share,Current Ratio,Book Value Per Share,Cash Flow,Beta,Class
3389,mchp,15.1451,1.162,12.24,3.31,3.52,29.46,31.86,8.78,21.13,5.514,20.305714285714288,1.88,3.35,8.187,624940000.0,1.58,26.1,4.3,6.094,6.712,5.439,486760000.0,1.17,0
3390,mchp,35.6141,50.86,60.02,4.6,3.76,8.05,13.32,3.76,6.49,8.13,14.65,1.39,4.28,16.99,792390000.0,0.62,26.0,26.9,8.06,6.77,9.87,411965000.0,1.08,0
3391,met,24.9447,0.45,16.47,0.68,1.12,3.98,5.46,0.48,7.51,47.243,9.83,0.9,0.78,9.597291666666669,33150000000.0,1.847,239.3,1.9,7.52,6.307727272727272,27.13,30308800000.0,0.429,3
3392,met,27.7776,0.426,14.42,0.75,1.23,5.03,6.76,0.58,8.78,47.257,10.81,1.02,0.85,9.597291666666669,33150000000.0,2.334,239.3,1.9,7.07,6.307727272727272,27.5,30308800000.0,0.473,3
3393,met,31.2425,0.443,11.05,0.75,1.33,6.87,9.3,0.8,12.17,49.554,10.53,0.99,0.88,9.597291666666669,35790000000.0,3.404,38.1,8.0,5.94,6.307727272727272,28.419001,7280000000.0,0.466,3
3394,met,33.0876,0.388,11.0,0.74,1.31,6.95,9.71,0.79,12.14,51.754,9.76,1.05,0.86,9.597291666666669,39010000000.0,3.59,24.4,9.0,5.53,6.307727272727272,30.143,8070000000.0,0.461,3
3395,met,33.1795,0.388,11.08,0.74,1.32,6.95,9.71,0.79,12.14,51.754,9.79,1.0,0.87,9.597291666666669,39010000000.0,3.59,24.4,9.0,5.53,6.307727272727272,30.143,8070000000.0,0.469,3
3396,mhfi,53.1741,42.23,14.58,3.25,14.52,22.82,32.05,14.59,40.08,16.46,14.77,0.94,3.02,8.59,2990000000.0,3.68,497.6,14.1,6.95,1.18,3.76,1320000000.0,0.96,0
3397,mhfi,53.1741,42.23,14.79,3.25,14.52,22.82,32.05,14.59,40.08,16.46,14.99,0.93,3.02,8.59,2990000000.0,3.68,497.6,14.1,6.95,1.18,3.76,1320000000.0,0.96,0
3398,mkc,23.351,0.909,22.25,1.82,5.76,7.69,12.61,8.86,29.04,15.959,19.26,1.94,2.09,13.08,856600000.0,1.328,22.6,2.2,0.09,1.099,5.18,1476944545.4545455,0.038,0
3399,mkc,27.4366,0.797,23.68,1.95,5.9,8.06,13.0,9.3,27.15,17.021,20.01,2.26,2.21,13.93,898600000.0,1.462,17.2,2.2,0.12,1.218,5.845,246340000.0,0.011,0
3400,mkc,29.2825,0.824,24.71,2.06,6.34,8.2,13.16,9.57,27.34,17.457,21.42,2.52,2.31,14.4,898600000.0,1.508,17.2,2.2,0.19,1.252,5.893,284960000.0,0.05,0
3401,mkc,30.6425,0.824,25.76,2.14,6.59,8.2,13.16,9.57,27.34,17.457,22.32,2.68,2.4,14.94,898600000.0,1.508,17.2,2.2,0.19,1.252,5.893,284960000.0,0.106,0
3402,mkc,29.7636,0.717,24.63,2.02,5.73,8.11,13.17,9.33,26.22,17.835,19.56,2.28,2.25,14.02,1010000000.0,1.52,1.8,11.3,0.52,1.118,6.566,349500000.0,0.071,0
3403,mkc,27.5258,0.733,22.92,1.82,5.16,7.85,12.87,9.05,25.06,18.099,18.15,2.15,2.07,13.17,1010000000.0,1.51,1.8,11.3,0.18,0.912,6.69,349500000.0,0.041,0
3404,mkc,23.5898,0.859,19.3,1.51,4.86,8.2,12.78,9.57,26.43,19.066,18.857777777777777,2.03,2.01,12.873,1010000000.0,1.52,0.1,5.4,0.15,0.837,6.02,336550000.0,0.068,0
3405,mkc,29.9037,0.675,23.26,1.81,5.19,8.13,13.43,10.64,24.72,19.606,18.857777777777777,2.29,2.01,11.277,1040000000.0,1.56,44.0,1.8,0.562,1.184,6.885,353680000.0,0.74,0
3406,mkc,28.0132,1.112,16.19,1.33,3.43,8.34,12.84,8.23,23.9,24.361,18.857777777777777,1.4,1.75,11.252,1190000000.0,1.986,20.8,9.1,0.233,0.927,9.348,316800000.0,0.65,0
3407,mkc,36.7749,78.5,16.35,1.62,4.15,9.93,15.3,9.76,25.65,24.85,14.5,2.09,1.91,10.55,1330000000.0,2.44,30.6,5.4,0.29,1.28,9.6,6280000000.0,0.39,5
3408,mkc,43.469,60.33,15.96,1.75,3.69,11.23,15.44,9.79,26.38,25.89,14.68,1.82,2.03,11.1,1420000000.0,2.87,11.2,10.7,0.5,1.27,12.35,6980000000.0,0.42,5
3409,mkc,67.325,71.3,22.79,2.27,5.37,10.13,14.34,8.87,23.95,30.49,19.82,2.61,2.54,15.02,1620000000.0,3.06,2.0,3.1,0.64,1.09,12.94,464100000.0,0.43,0
3410,mmc,32.9986,0.596,15.89,2.12,4.36,13.32,21.43,10.81,28.64,20.369,13.95,1.13,2.27,9.35,5240000000.0,2.69,40.1,5.0,1.16,0.975,10.2,1241250000.0,1.052,4
3411,mmc,33.3442,0.571,16.85,2.15,4.41,13.37,21.61,10.74,28.3,20.362,14.72,1.17,2.37,9.44,5240000000.0,2.689,40.1,5.0,1.3,0.983,10.28,1241250000.0,0.988,4
3412,mmc,32.729,0.708,15.66,1.92,4.12,13.09,21.36,10.66,28.46,21.869,12.98,1.02,2.2,8.89,11590000000.0,2.827,12.8,11.0,1.21,0.981,10.662,1580000000.0,1.05,4
3413,mmc,24.3485,0.858,14.14,1.38,2.97,10.21,17.31,8.13,22.15,22.789,15.92,1.57,1.74,8.35,11590000000.0,2.28,12.8,11.0,1.1,0.808,10.755,1670000000.0,0.917,4
3414,mmc,23.9041,0.854,16.78,1.39,2.84,8.31,12.23,5.06,14.63,21.714,14.06375,1.64,1.62,10.099,11650000000.0,1.78,545.7,8.4,3.784,1.051,10.542,1241250000.0,1.42,4
3415,mmc,23.6882,0.854,16.66,1.36,2.77,8.31,11.61,5.2,14.63,21.714,14.06375,1.63,1.6,9.577,11920000000.0,1.75,545.7,10.2,3.779,1.051,10.543,878000000.0,1.33,4
3416,mmc,20.9034,0.521,16.7,1.05,1.82,0.57,8.59,3.84,0.75,23.292,14.06375,2.0,1.23,10.257,11350000000.0,0.13,121.32,4.5,2.842,1.45,13.455,2000000.0,0.64,4
3417,mmc,30.5797,46.66,17.54,1.51,2.84,8.68,14.48,7.04,15.7,21.59,13.21,1.22,1.64,9.44,11530000000.0,1.84,6.8,5.8,2.59,1.66,11.35,1580000000.0,0.74,4
3418,mmc,31.4985,46.66,18.35,1.56,2.94,8.68,14.48,7.04,15.7,21.59,13.88,1.3,1.69,9.74,11530000000.0,1.84,6.8,5.8,2.59,1.66,11.35,1580000000.0,0.74,4
3419,mmc,36.1768,44.17,17.56,1.71,3.1,9.86,15.34,7.2,19.19,21.92,13.92,1.32,1.77,9.66,11920000000.0,2.13,1.2,3.2,4.21,1.67,12.0,1320000000.0,0.74,4
3420,mmc,36.3412,44.17,17.57,1.72,3.12,9.86,15.34,7.2,19.19,21.92,13.93,1.36,1.77,9.66,11920000000.0,2.13,1.2,3.2,4.21,1.67,12.0,1320000000.0,0.74,4
3421,mmm,62.5069,0.399,28.34,3.62,8.52,13.33,20.21,14.66,34.34,22.262,23.61,2.25,3.72,14.56,7840000000.0,2.893,38.0,1.6,1.63,1.478,9.57,7952682926.829268,0.505,4
3422,mmm,65.1943,0.349,26.04,3.52,8.19,14.22,21.48,15.81,35.67,23.638,20.38,1.89,3.57,13.39,8950000000.0,3.288,21.7,11.6,2.32,1.562,10.358,3950000000.0,0.491,4
3423,mmm,63.3864,0.315,23.7,3.33,7.59,14.73,22.17,16.27,35.69,24.124,19.42,1.82,3.36,12.31,8950000000.0,3.474,21.7,11.6,2.96,1.542,10.805,4120000000.0,0.521,4
3424,mmm,62.4225,0.306,22.42,3.17,7.15,15.05,22.55,16.64,35.54,24.576,19.49,1.79,3.19,11.57,8950000000.0,3.616,21.7,11.6,2.83,1.573,11.17,4220000000.0,0.542,4
3425,mmm,61.1422,0.306,21.84,3.13,7.07,15.05,22.55,16.64,35.54,24.576,18.94,1.8,3.15,11.44,8950000000.0,3.616,21.7,11.6,2.83,1.573,11.17,4220000000.0,0.545,4
